"module name","license","repository"
"@apidevtools/json-schema-ref-parser@11.9.3","MIT","https://github.com/APIDevTools/json-schema-ref-parser"
"@aws-crypto/crc32@5.2.0","Apache-2.0","https://github.com/aws/aws-sdk-js-crypto-helpers"
"@aws-crypto/crc32c@5.2.0","Apache-2.0","https://github.com/aws/aws-sdk-js-crypto-helpers"
"@aws-crypto/sha1-browser@5.2.0","Apache-2.0","https://github.com/aws/aws-sdk-js-crypto-helpers"
"@aws-crypto/sha256-browser@5.2.0","Apache-2.0","https://github.com/aws/aws-sdk-js-crypto-helpers"
"@aws-crypto/sha256-js@1.2.2","Apache-2.0","https://github.com/aws/aws-sdk-js-crypto-helpers"
"@aws-crypto/sha256-js@5.2.0","Apache-2.0","https://github.com/aws/aws-sdk-js-crypto-helpers"
"@aws-crypto/supports-web-crypto@5.2.0","Apache-2.0","https://github.com/aws/aws-sdk-js-crypto-helpers"
"@aws-crypto/util@1.2.2","Apache-2.0","https://github.com/aws/aws-sdk-js-crypto-helpers"
"@aws-crypto/util@5.2.0","Apache-2.0","https://github.com/aws/aws-sdk-js-crypto-helpers"
"@aws-sdk/client-cognito-identity@3.758.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/client-s3@3.758.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/client-sso@3.758.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/core@3.758.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/credential-provider-cognito-identity@3.758.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/credential-provider-env@3.758.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/credential-provider-http@3.758.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/credential-provider-ini@3.758.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/credential-provider-node@3.758.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/credential-provider-process@3.758.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/credential-provider-sso@3.758.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/credential-provider-web-identity@3.758.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/credential-providers@3.758.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/lib-storage@3.758.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/middleware-bucket-endpoint@3.734.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/middleware-expect-continue@3.734.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/middleware-flexible-checksums@3.758.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/middleware-host-header@3.734.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/middleware-location-constraint@3.734.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/middleware-logger@3.734.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/middleware-recursion-detection@3.734.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/middleware-sdk-s3@3.758.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/middleware-ssec@3.734.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/middleware-user-agent@3.758.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/nested-clients@3.758.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/region-config-resolver@3.734.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/signature-v4-multi-region@3.758.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/token-providers@3.758.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/types@3.734.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/util-arn-parser@3.723.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/util-endpoints@3.743.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/util-locate-window@3.723.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/util-user-agent-browser@3.734.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/util-user-agent-node@3.758.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/util-utf8-browser@3.259.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/xml-builder@3.734.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@babel/code-frame@7.26.2","MIT","https://github.com/babel/babel"
"@babel/generator@7.26.9","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.25.9","MIT","https://github.com/babel/babel"
"@babel/parser@7.26.9","MIT","https://github.com/babel/babel"
"@babel/runtime@7.26.9","MIT","https://github.com/babel/babel"
"@babel/template@7.26.9","MIT","https://github.com/babel/babel"
"@babel/traverse@7.26.9","MIT","https://github.com/babel/babel"
"@babel/types@7.26.9","MIT","https://github.com/babel/babel"
"@date-fns/tz@1.2.0","MIT","https://github.com/date-fns/tz"
"@dnd-kit/accessibility@3.1.1","MIT","https://github.com/clauderic/dnd-kit"
"@dnd-kit/core@6.0.8","MIT","https://github.com/clauderic/dnd-kit"
"@dnd-kit/sortable@7.0.2","MIT","https://github.com/clauderic/dnd-kit"
"@dnd-kit/utilities@3.2.2","MIT","https://github.com/clauderic/dnd-kit"
"@drizzle-team/brocli@0.10.2","Apache-2.0","https://github.com/drizzle-team/brocli"
"@emotion/babel-plugin@11.13.5","MIT","https://github.com/emotion-js/emotion/tree/main/packages/babel-plugin"
"@emotion/cache@11.14.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/cache"
"@emotion/css@11.13.5","MIT","https://github.com/emotion-js/emotion/tree/main/packages/css"
"@emotion/hash@0.9.2","MIT","https://github.com/emotion-js/emotion/tree/main/packages/hash"
"@emotion/memoize@0.9.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/memoize"
"@emotion/react@11.14.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/react"
"@emotion/serialize@1.3.3","MIT","https://github.com/emotion-js/emotion/tree/main/packages/serialize"
"@emotion/sheet@1.4.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/sheet"
"@emotion/unitless@0.10.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/unitless"
"@emotion/use-insertion-effect-with-fallbacks@1.2.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/use-insertion-effect-with-fallbacks"
"@emotion/utils@1.4.2","MIT","https://github.com/emotion-js/emotion/tree/main/packages/utils"
"@emotion/weak-memoize@0.4.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/weak-memoize"
"@esbuild-kit/core-utils@3.3.2","MIT","https://github.com/esbuild-kit/core-utils"
"@esbuild-kit/esm-loader@2.6.5","MIT","https://github.com/esbuild-kit/esm-loader"
"@esbuild/darwin-arm64@0.18.20","MIT","https://github.com/evanw/esbuild"
"@esbuild/darwin-arm64@0.19.12","MIT","https://github.com/evanw/esbuild"
"@esbuild/darwin-arm64@0.23.1","MIT","https://github.com/evanw/esbuild"
"@eslint-community/eslint-utils@4.4.1","MIT","https://github.com/eslint-community/eslint-utils"
"@eslint-community/regexpp@4.12.1","MIT","https://github.com/eslint-community/regexpp"
"@eslint/config-array@0.19.2","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/core@0.12.0","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/eslintrc@3.3.0","MIT","https://github.com/eslint/eslintrc"
"@eslint/js@9.21.0","MIT","https://github.com/eslint/eslint"
"@eslint/object-schema@2.1.6","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/plugin-kit@0.2.7","Apache-2.0","https://github.com/eslint/rewrite"
"@faceless-ui/modal@3.0.0-beta.2","MIT","https://github.com/faceless-ui/modal"
"@faceless-ui/scroll-info@2.0.0","MIT","https://github.com/faceless-ui/scroll-info"
"@faceless-ui/window-info@3.0.1","MIT","https://github.com/faceless-ui/window-info"
"@floating-ui/core@1.6.9","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/dom@1.6.13","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/react-dom@2.1.2","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/react@0.27.5","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/utils@0.2.9","MIT","https://github.com/floating-ui/floating-ui"
"@humanfs/core@0.19.1","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanfs/node@0.16.6","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanwhocodes/module-importer@1.0.1","Apache-2.0","https://github.com/humanwhocodes/module-importer"
"@humanwhocodes/retry@0.3.1","Apache-2.0","https://github.com/humanwhocodes/retry"
"@humanwhocodes/retry@0.4.2","Apache-2.0","https://github.com/humanwhocodes/retry"
"@img/sharp-darwin-arm64@0.33.5","Apache-2.0","https://github.com/lovell/sharp"
"@img/sharp-libvips-darwin-arm64@1.0.4","LGPL-3.0-or-later","https://github.com/lovell/sharp-libvips"
"@jridgewell/gen-mapping@0.3.8","MIT","https://github.com/jridgewell/gen-mapping"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/set-array@1.2.1","MIT","https://github.com/jridgewell/set-array"
"@jridgewell/sourcemap-codec@1.5.0","MIT","https://github.com/jridgewell/sourcemap-codec"
"@jridgewell/trace-mapping@0.3.25","MIT","https://github.com/jridgewell/trace-mapping"
"@jsdevtools/ono@7.1.3","MIT","https://github.com/JS-DevTools/ono"
"@lexical/clipboard@0.21.0","MIT","https://github.com/facebook/lexical"
"@lexical/code@0.21.0","MIT","https://github.com/facebook/lexical"
"@lexical/devtools-core@0.21.0","MIT","https://github.com/facebook/lexical"
"@lexical/dragon@0.21.0","MIT","https://github.com/facebook/lexical"
"@lexical/hashtag@0.21.0","MIT","https://github.com/facebook/lexical"
"@lexical/headless@0.21.0","MIT","https://github.com/facebook/lexical"
